student_id,name,class,sex
124001256,Dương Quốc Hạnh,25CT112,Không rõ
124001257,Hoàng Thị Sơn,25CT112,Không rõ
124001258,Vũ Kim Phúc,25CT112,Không rõ
124001259,Dương Quốc Linh,25CT112,Không rõ
124001260,Hoàng Thị Quân,25CT112,Không rõ
124001261,Phạm Thu Xuân,25CT112,Không rõ
124001262,Trần Hoàng Em,25CT112,Không rõ
124001263,Lý Quốc Long,25CT112,Không rõ
124001264,Ngô Ngọc Sơn,25CT111,Không rõ
124001265,Đỗ Anh Tâm,25CT111,Không rõ
124001266,Hoàng Minh Tâm,25CT111,Không rõ
124001267,Nguyễn Minh Linh,25CT111,Không rõ
124001268,Đỗ Đức Trang,25CT111,Không rõ
124001269,Bùi Thị Hùng,25CT113,Không rõ
124001270,Đặng Thu Thảo,25CT113,Không rõ
124001271,Bùi Đức Hạnh,25CT113,Không rõ
124001272,Nguyễn Thanh Phúc,25CT111,Không rõ
124001273,Lê Quốc Mai,25CT111,Không rõ
124001274,Hoàng Xuân Thảo,25CT111,Không rõ
124001275,Dương Thành Bình,25CT111,Không rõ
124001276,Đỗ Thanh Uyên,25CT111,Không rõ
124001277,Võ Đức Thảo,25CT111,Không rõ
124001278,Vũ Thị Hùng,25CT111,Không rõ
124001279,Võ Anh Phong,25CT111,Không rõ
124001280,Ngô Xuân Hải,25CT113,Không rõ
124001281,Đặng Thanh Xuân,25CT113,Không rõ
124001282,Lê Hồng Long,25CT113,Không rõ
124001283,Dương Hồng Giang,25CT112,Không rõ
124001284,Đỗ Đức Mai,25CT112,Không rõ
124001285,Đặng Hồng Quân,25CT112,Không rõ
124001286,Bùi Hồng Hùng,25CT111,Không rõ
124001287,Vũ Hữu Xuân,25CT111,Không rõ
124001288,Phạm Minh Cường,25CT112,Không rõ
124001289,Đặng Ngọc Phong,25CT112,Không rõ
124001290,Vũ Hoàng Em,25CT111,Không rõ
124001291,Trần Hồng Giang,25CT111,Không rõ
